,BVP,ACC,EDA,HR,EM1,EM2
0,64.0,32.0,4.0,1.0,0,-1
1,85.71,38.0,0.039712,86.0,0,-1
2,148.81,44.0,0.008967000000000001,97.0,0,-1
3,11.23,23.0,0.008967000000000001,93.0,0,-1
4,47.26,17.0,0.017934000000000002,84.25,0,-1
5,-477.81,8.0,0.032026,79.0,0,-1
6,-8.15,8.0,0.029463999999999997,80.0,0,-1
7,-19.94,7.0,0.029463999999999997,80.71,0,-1
8,8.38,5.0,0.040993,81.12,0,-1
9,2.73,10.0,0.046117,82.11,0,-1
10,-103.8,21.0,0.03715,82.8,0,-1
11,-68.45,-14.0,0.023058000000000002,83.36,0,-1
12,-28.76,-23.0,0.024339,83.67,0,-1
13,-210.73,-18.0,0.024339,83.85,0,-1
14,199.63,7.0,0.026900999999999998,83.86,0,-1
15,-10.42,28.0,0.020496,84.47,0,-1
16,185.03,7.0,0.01281,85.06,0,-1
17,122.77,21.0,0.01281,85.94,0,-1
18,35.58,29.0,0.01281,87.06,0,-1
19,-447.43,-1.0,0.020496,88.0,0,-1
20,294.42,-2.0,0.017934000000000002,88.9,0,-1
21,-7.28,-14.0,0.011529000000000001,89.81,0,-1
22,-314.18,2.0,0.014091,90.59,0,-1
23,210.0,-1.0,0.011529000000000001,91.3,0,-1
24,-38.49,18.0,0.008967000000000001,91.88,0,-1
25,-71.08,47.0,0.010248,92.44,0,-1
26,265.73,6.0,0.01281,92.92,0,-1
27,13.61,-22.0,0.008967000000000001,93.33,0,-1
28,-113.01,-13.0,0.006405,93.68,0,-1
29,80.32,-28.0,0.016653,93.93,0,-1
30,405.81,-27.0,0.02562,94.2,0,-1
31,-29.07,28.0,0.028183,94.52,0,-1
32,81.87,6.0,0.01281,94.31,0,-1
33,267.01,2.0,0.017934000000000002,94.12,0,-1
34,93.46,25.0,0.016653,93.94,0,-1
35,-93.52,37.0,0.019215,93.77,0,-1
36,213.7,15.0,0.014091,93.67,0,-1
37,53.0,5.0,0.016653,93.54,0,-1
38,109.62,8.0,0.024339,93.34,0,-1
39,-33.74,10.0,0.032026,93.21,0,-1
40,-7.3,16.0,0.02562,93.1,0,-1
41,-29.54,19.0,0.026900999999999998,93.05,0,-1
42,4.28,17.0,0.024339,92.98,0,-1
43,537.75,53.0,0.023058000000000002,92.93,0,-1
44,-6.88,49.0,0.02562,92.86,0,-1
45,-79.58,90.0,0.028183,92.8,0,-1
46,117.67,61.0,0.028183,92.78,0,-1
47,-12.35,61.0,0.028183,92.68,0,-1
48,65.48,60.0,0.028183,92.67,0,-1
49,-20.55,60.0,0.029463999999999997,92.61,0,-1
50,16.72,61.0,0.02562,92.54,0,-1
51,-8.49,61.0,0.026900999999999998,92.45,0,-1
52,12.87,60.0,0.026900999999999998,92.37,0,-1
53,-13.18,61.0,0.028183,92.26,0,-1
54,10.03,61.0,0.026900999999999998,92.13,0,-1
55,-4.4,61.0,0.029463999999999997,91.96,0,-1
56,10.53,60.0,0.029463999999999997,91.79,0,-1
57,-13.08,59.0,0.029463999999999997,91.6,0,-1
58,-17.23,31.0,0.030744999999999998,91.41,0,-1
59,273.77,26.0,0.039712,91.25,0,-1
60,8.37,27.0,0.035869,91.15,0,-1
61,-0.75,26.0,0.038431,91.08,0,-1
62,-6.93,27.0,0.039712,90.67,0,-1
63,-15.42,27.0,0.040993,90.63,0,-1
64,1.97,28.0,0.040993,91.07,0,-1
65,-12.57,27.0,0.03715,91.5,0,-1
66,-9.35,29.0,0.042274,91.5,0,-1
67,9.9,27.0,0.042274,91.48,0,-1
68,-30.24,28.0,0.039712,91.48,0,-1
69,15.98,27.0,0.040993,91.38,0,-1
70,-21.2,28.0,0.040993,91.28,0,-1
71,18.64,29.0,0.043555,91.18,0,-1
72,4.13,30.0,0.043555,91.1,0,-1
73,-32.28,26.0,0.043555,91.03,0,-1
74,-0.21,23.0,0.043555,90.9,0,-1
75,-23.26,26.0,0.043555,90.63,0,-1
76,1.45,25.0,0.042274,90.35,0,-1
77,9.57,26.0,0.043555,89.97,0,-1
78,-10.09,27.0,0.042274,89.47,0,-1
79,6.24,26.0,0.042274,88.92,0,-1
80,-2.55,26.0,0.042274,88.35,0,-1
81,-26.8,26.0,0.042274,87.73,0,-1
82,19.45,27.0,0.043555,87.13,0,-1
83,22.66,27.0,0.046117,86.53,0,-1
84,7.94,27.0,0.044836,85.97,0,-1
85,-14.09,27.0,0.046117,85.38,0,-1
86,-39.48,26.0,0.046117,84.85,0,-1
87,-0.56,21.0,0.044836,84.35,0,-1
88,114.45,20.0,0.047398,83.87,0,-1
89,69.89,14.0,0.044836,83.42,0,-1
90,-18.76,17.0,0.044836,82.95,0,-1
91,15.77,19.0,0.044836,82.43,0,-1
92,-13.82,20.0,0.046117,82.15,0,-1
93,28.79,21.0,0.043555,81.78,0,-1
94,6.62,21.0,0.046117,81.42,0,-1
95,-27.8,21.0,0.046117,81.05,0,-1
96,35.74,68.0,0.048679,80.82,0,-1
97,-11.73,31.0,0.048679,80.63,0,-1
98,81.24,32.0,0.046117,80.52,0,-1
99,13.23,13.0,0.047398,80.37,0,-1
100,-76.17,19.0,0.049960000000000004,80.2,0,-1
101,-117.24,34.0,0.049960000000000004,80.03,0,-1
102,-103.55,-2.0,0.049960000000000004,79.92,0,-1
103,-45.4,32.0,0.051240999999999995,79.8,0,-1
104,-7.69,31.0,0.047398,79.7,0,-1
105,-28.44,17.0,0.052522000000000006,79.57,0,-1
106,54.22,56.0,0.053803,79.38,0,-1
107,0.4,23.0,0.053803,79.38,0,-1
108,41.94,56.0,0.051240999999999995,79.28,0,-1
109,1.53,22.0,0.047398,78.88,0,-1
110,18.8,28.0,0.049960000000000004,78.55,0,-1
111,88.35,31.0,0.048679,78.28,0,-1
112,-2.95,30.0,0.049960000000000004,78.05,0,-1
113,-28.46,30.0,0.049960000000000004,77.85,0,-1
114,-30.64,30.0,0.051240999999999995,77.68,0,-1
115,35.28,30.0,0.048679,77.53,0,-1
116,33.56,30.0,0.051240999999999995,77.42,0,-1
117,3.28,30.0,0.052522000000000006,77.32,0,-1
118,-51.99,30.0,0.052522000000000006,77.22,0,-1
119,29.52,30.0,0.052522000000000006,77.12,0,-1
120,32.08,30.0,0.051240999999999995,76.95,0,-1
121,-13.62,30.0,0.052522000000000006,76.83,0,-1
122,-33.09,32.0,0.052522000000000006,76.73,0,-1
123,62.44,23.0,0.053803,76.63,0,-1
124,-20.17,12.0,0.055084,76.52,0,-1
125,-34.86,14.0,0.056365,76.38,0,-1
126,75.04,-17.0,0.056365,76.22,0,-1
127,52.45,-30.0,0.056365,76.07,0,-1
128,-6.0,-10.0,0.057646,75.95,0,-1
129,-47.31,-35.0,0.058927,75.83,0,-1
130,110.8,17.0,0.058927,75.72,0,-1
131,-60.79,30.0,0.052522000000000006,75.6,0,-1
132,25.36,39.0,0.057646,75.52,0,-1
133,9.74,40.0,0.056365,75.48,0,-1
134,33.39,38.0,0.055084,75.52,0,-1
135,6.59,51.0,0.055084,75.57,0,-1
136,-31.54,16.0,0.053803,75.62,0,-1
137,3.09,42.0,0.053803,75.68,0,-1
138,43.06,46.0,0.053803,75.8,0,-1
139,132.3,37.0,0.053803,75.98,0,-1
140,21.92,42.0,0.055084,76.25,0,-1
141,-79.17,45.0,0.055084,76.52,0,-1
142,-10.42,46.0,0.053803,76.78,0,-1
143,27.48,43.0,0.055084,77.05,0,-1
144,27.95,43.0,0.053803,77.32,0,-1
145,-0.33,46.0,0.053803,77.6,0,-1
146,129.47,47.0,0.053803,77.83,0,-1
147,-53.83,46.0,0.053803,78.1,0,-1
148,49.33,54.0,0.049960000000000004,78.38,0,-1
149,-91.42,57.0,0.055084,78.68,0,-1
150,-16.26,53.0,0.055084,78.98,0,-1
151,-9.04,54.0,0.055084,79.23,0,-1
152,-2.37,56.0,0.055084,79.43,0,-1
153,0.02,56.0,0.053803,79.73,0,-1
154,-1.4,57.0,0.056365,79.97,0,-1
155,-1.03,58.0,0.056365,80.22,0,-1
156,0.73,50.0,0.058927,80.22,0,-1
157,5.39,55.0,0.058927,79.78,0,-1
158,-3.41,56.0,0.056365,79.62,0,-1
159,-3.37,56.0,0.057646,79.43,0,-1
160,-0.77,56.0,0.056365,79.3,0,-1
161,3.61,55.0,0.056365,79.17,0,-1
162,4.0,55.0,0.057646,78.97,0,-1
163,0.97,47.0,0.057646,78.77,0,-1
164,-19.36,45.0,0.052522000000000006,78.53,0,-1
165,66.55,56.0,0.057646,78.35,0,-1
166,-6.63,60.0,0.057646,77.8,0,-1
167,-6.51,58.0,0.057646,77.2,0,-1
168,0.13,59.0,0.057646,76.6,0,-1
169,-2.76,59.0,0.057646,76.32,0,-1
170,0.51,58.0,0.057646,76.65,0,-1
171,-1.79,59.0,0.060208000000000005,76.87,0,-1
172,-1.11,60.0,0.060208000000000005,77.0,0,-1
173,0.58,59.0,0.057646,77.08,0,-1
174,-1.2,59.0,0.057646,77.1,0,-1
175,1.54,59.0,0.057646,77.1,0,-1
176,0.38,59.0,0.060208000000000005,77.05,0,-1
177,-0.7,59.0,0.061489,76.98,0,-1
178,1.56,59.0,0.06277,76.9,0,-1
179,0.75,59.0,0.064051,76.75,0,-1
180,-0.38,59.0,0.06277,76.63,0,-1
181,-3.98,59.0,0.064051,76.5,0,-1
182,-1.28,59.0,0.064051,76.37,0,-1
183,0.47,59.0,0.064051,76.25,0,-1
184,1.7,59.0,0.064051,76.12,0,-1
185,1.58,59.0,0.064051,76.02,0,-1
186,-0.42,79.0,0.058927,75.95,0,-1
187,-65.8,48.0,0.064051,75.88,0,-1
188,0.88,55.0,0.064051,75.82,0,-1
189,0.23,59.0,0.060208000000000005,75.73,0,-1
190,-8.81,59.0,0.060208000000000005,75.7,0,-1
191,-11.21,62.0,0.061489,75.65,0,-1
192,4.43,61.0,0.058927,75.38,0,-1
193,2.76,61.0,0.061489,75.1,0,-1
194,1.98,62.0,0.061489,74.93,0,-1
195,2.41,62.0,0.061489,74.73,0,-1
196,-0.41,62.0,0.061489,74.5,0,-1
197,-1.84,63.0,0.058927,74.35,0,-1
198,-54.15,62.0,0.061489,74.2,0,-1
199,61.44,62.0,0.061489,74.07,0,-1
200,44.68,62.0,0.061489,73.87,0,-1
201,-28.19,62.0,0.06277,73.68,0,-1
202,34.61,62.0,0.064051,73.48,0,-1
203,-7.17,62.0,0.065332,73.28,0,-1
204,-70.15,62.0,0.064051,73.08,0,-1
205,45.35,62.0,0.065332,72.87,0,-1
206,58.99,62.0,0.064051,72.68,0,-1
207,29.16,62.0,0.065332,72.45,0,-1
208,-29.72,61.0,0.06277,72.2,0,-1
209,-9.66,61.0,0.064051,71.93,0,-1
210,44.79,61.0,0.065332,71.68,0,-1
211,24.77,61.0,0.066613,71.52,0,-1
212,-46.82,61.0,0.066613,71.43,0,-1
213,25.45,61.0,0.06789400000000001,71.33,0,-1
214,36.14,61.0,0.064051,71.28,0,-1
215,-27.87,61.0,0.064051,71.22,0,-1
216,-87.57,61.0,0.064051,71.23,0,-1
217,47.15,61.0,0.065332,71.65,0,-1
218,33.04,61.0,0.066613,71.78,0,-1
219,-83.08,60.0,0.064051,71.92,0,-1
220,45.78,60.0,0.066613,72.02,0,-1
221,28.24,60.0,0.06789400000000001,72.1,0,-1
222,-15.89,60.0,0.06789400000000001,72.23,0,-1
223,11.55,60.0,0.06789400000000001,72.37,0,-1
224,21.87,61.0,0.065332,72.53,0,-1
225,1.4,59.0,0.06789400000000001,72.67,0,-1
226,-66.16,60.0,0.066613,73.2,0,-1
227,4.81,60.0,0.06789400000000001,73.67,0,-1
228,-2.75,59.0,0.064051,74.13,0,-1
229,-2.51,58.0,0.065332,74.67,0,-1
230,43.17,76.0,0.06277,74.42,0,-1
231,-20.68,15.0,0.065332,74.2,0,-1
232,-133.96,4.0,0.098639,73.98,0,-1
233,19.11,111.0,0.115292,73.78,0,-1
234,-15.82,82.0,0.096077,74.0,0,-1
235,23.33,8.0,0.093515,74.22,0,-1
236,19.1,9.0,0.094796,74.43,0,-1
237,18.29,9.0,0.088391,74.7,0,-1
238,-37.25,31.0,0.084547,74.97,0,-1
239,98.07,65.0,0.08711,75.25,0,-1
240,140.14,14.0,0.093515,75.53,0,-1
241,38.92,31.0,0.08711,75.83,0,-1
242,-19.93,16.0,0.085829,76.1,0,-1
243,13.51,43.0,0.085829,76.4,0,-1
244,-40.44,19.0,0.081985,76.73,0,-1
245,50.78,20.0,0.080704,77.07,0,-1
246,-91.31,20.0,0.081985,77.4,0,-1
247,71.23,24.0,0.080704,77.73,0,-1
248,-21.96,17.0,0.07942300000000001,78.05,0,-1
249,71.4,41.0,0.080704,78.38,0,-1
250,15.97,32.0,0.080704,78.7,0,-1
251,13.42,32.0,0.07942300000000001,79.02,0,-1
252,14.86,32.0,0.07942300000000001,79.53,0,-1
253,-6.8,32.0,0.080704,80.0,0,-1
254,38.92,29.0,0.07942300000000001,80.37,0,-1
255,34.96,17.0,0.081985,80.73,0,-1
256,-15.62,36.0,0.081985,81.2,0,-1
257,9.79,33.0,0.081985,81.63,0,-1
258,35.88,33.0,0.080704,82.0,0,-1
259,-55.11,33.0,0.081985,82.3,0,-1
260,49.74,33.0,0.080704,82.3,0,-1
261,-65.02,33.0,0.08326599999999999,82.3,0,-1
262,59.9,32.0,0.08326599999999999,82.33,0,-1
263,42.51,32.0,0.080704,82.33,0,-1
264,-46.42,32.0,0.081985,82.3,0,-1
265,-82.45,32.0,0.080704,82.22,0,-1
266,50.6,33.0,0.080704,82.12,0,-1
267,35.8,33.0,0.081985,82.02,0,-1
268,-31.14,44.0,0.08326599999999999,81.9,0,-1
269,66.09,44.0,0.084547,81.77,0,-1
270,17.11,41.0,0.081985,81.72,0,-1
271,27.29,47.0,0.08326599999999999,81.63,0,-1
272,1.45,35.0,0.08326599999999999,81.6,0,-1
273,22.16,44.0,0.07942300000000001,81.57,0,-1
274,8.66,33.0,0.07942300000000001,81.55,0,-1
275,52.5,0.0,0.081985,81.52,0,-1
276,-18.99,0.0,0.08326599999999999,81.62,0,-1
277,1.13,0.0,0.080704,81.72,0,-1
278,11.53,1.0,0.080704,81.78,0,-1
279,-49.73,2.0,0.081985,81.87,0,-1
280,21.13,2.0,0.081985,81.93,0,-1
281,-2.2,-7.0,0.08326599999999999,81.97,0,-1
282,2.59,-3.0,0.081985,82.0,0,-1
283,-22.25,-2.0,0.081985,82.02,0,-1
284,10.37,-1.0,0.081985,81.93,0,-1
285,12.2,-16.0,0.080704,81.87,0,-1
286,-30.46,7.0,0.081985,81.82,0,-1
287,-35.8,10.0,0.08326599999999999,81.73,0,-1
288,6.21,10.0,0.08326599999999999,81.65,0,-1
289,84.97,9.0,0.084547,81.48,0,-1
290,57.06,13.0,0.085829,81.72,0,-1
291,4.89,17.0,0.08711,81.97,0,-1
292,80.58,22.0,0.08711,82.27,0,-1
293,44.42,16.0,0.08711,82.55,0,-1
294,4.22,15.0,0.085829,82.52,0,-1
295,-14.84,30.0,0.08711,82.48,0,-1
296,-85.99,35.0,0.081985,82.67,0,-1
297,38.36,25.0,0.08326599999999999,82.83,2,-2
298,-56.57,19.0,0.08711,82.35,2,-2
299,25.37,20.0,0.088391,81.97,2,-2
300,-9.73,20.0,0.09095299999999999,81.67,2,-2
301,-23.93,19.0,0.092234,81.37,2,-2
302,8.08,19.0,0.093515,81.13,2,-2
303,-3.17,19.0,0.088391,80.92,2,-2
304,-10.67,19.0,0.089672,80.78,2,-2
305,0.65,20.0,0.089672,80.58,2,-2
306,-9.3,19.0,0.089672,80.32,2,-2
307,5.7,20.0,0.08711,80.1,2,-2
308,-3.84,20.0,0.09095299999999999,79.7,2,-2
309,6.9,20.0,0.09095299999999999,79.33,2,-2
310,-1.76,20.0,0.089672,78.98,2,-2
311,-1.3,20.0,0.089672,78.65,2,-2
312,0.26,20.0,0.09095299999999999,78.3,2,-2
313,-2.97,22.0,0.092234,77.97,2,-2
314,-188.02,5.0,0.085829,77.65,2,-2
315,88.97,-17.0,0.085829,77.37,2,-2
316,-4.4,-6.0,0.085829,76.97,2,-2
317,140.22,-9.0,0.085829,76.47,2,-2
318,7.5,-7.0,0.08326599999999999,75.97,2,-2
319,-43.04,2.0,0.088391,75.48,2,-2
320,-68.4,-1.0,0.08711,75.3,2,-2
321,-28.28,-13.0,0.088391,75.15,2,-2
322,-0.58,-15.0,0.088391,75.0,2,-2
323,-6.23,-14.0,0.08711,74.82,2,-2
324,-0.47,-14.0,0.088391,74.63,2,-2
325,-2.36,-12.0,0.088391,74.53,2,-2
326,34.92,-14.0,0.08711,74.42,2,-2
327,-11.56,-13.0,0.085829,74.38,2,-2
328,7.31,-13.0,0.088391,74.27,2,-2
329,-4.85,-13.0,0.084547,74.28,2,-2
330,-0.68,-18.0,0.08711,74.27,2,-2
331,-15.19,6.0,0.088391,74.23,2,-2
332,3.03,3.0,0.088391,74.18,2,-2
333,5.0,4.0,0.085829,74.17,2,-2
334,1.47,4.0,0.08711,73.98,2,-2
335,-1.01,3.0,0.085829,73.83,2,-2
336,0.46,5.0,0.08711,73.58,2,-2
337,0.8,4.0,0.08711,73.25,2,-2
338,0.42,5.0,0.08711,72.95,2,-2
339,-1.02,5.0,0.088391,72.65,2,-2
340,3.97,2.0,0.085829,72.35,2,-2
341,0.37,3.0,0.089672,72.05,2,-2
342,0.12,3.0,0.089672,71.72,2,-2
343,-3.32,4.0,0.089672,71.32,2,-2
344,0.05,4.0,0.089672,71.0,2,-2
345,3.36,3.0,0.089672,70.72,2,-2
346,0.82,3.0,0.088391,70.38,2,-2
347,-1.14,3.0,0.09095299999999999,70.07,2,-2
348,-1.15,5.0,0.09095299999999999,69.82,2,-2
349,-0.99,4.0,0.089672,69.62,2,-2
350,-1.57,5.0,0.09095299999999999,69.15,2,-2
351,-8.86,4.0,0.088391,68.72,2,-2
352,-0.34,3.0,0.09095299999999999,68.28,2,-2
353,1.83,2.0,0.092234,67.93,2,-2
354,-1.95,2.0,0.092234,67.57,2,-2
355,2.28,1.0,0.09095299999999999,67.28,2,-2
356,-1.72,3.0,0.09095299999999999,67.0,2,-2
357,-2.43,3.0,0.092234,66.8,2,-2
358,-2.38,4.0,0.088391,67.28,2,-2
359,2.1,3.0,0.088391,67.7,2,-2
360,-0.12,-4.0,0.088391,68.02,2,-2
361,-2.22,-22.0,0.088391,68.32,2,-2
362,-1.32,-19.0,0.085829,68.55,2,-2
363,8.41,-18.0,0.089672,68.7,2,-2
364,-8.41,-18.0,0.089672,68.77,2,-2
365,7.38,-17.0,0.09095299999999999,68.88,2,-2
366,3.74,-17.0,0.089672,69.05,2,-2
367,3.85,-17.0,0.09095299999999999,69.15,2,-2
368,-9.47,-17.0,0.08711,69.42,2,-2
369,38.0,-18.0,0.089672,69.65,2,-2
370,-27.44,-19.0,0.089672,69.83,2,-2
371,51.74,-19.0,0.09095299999999999,70.0,2,-2
372,-3.22,-19.0,0.09095299999999999,70.17,2,-2
373,48.45,-19.0,0.089672,70.32,2,-2
374,59.09,-19.0,0.09095299999999999,70.48,2,-2
375,-52.16,-19.0,0.092234,70.62,2,-2
376,58.82,-19.0,0.092234,70.75,2,-2
377,10.62,-20.0,0.092234,70.92,2,-2
378,-87.43,-20.0,0.092234,71.12,2,-2
379,48.03,-20.0,0.092234,71.35,2,-2
380,33.43,-7.0,0.092234,71.57,2,-2
381,-11.62,56.0,0.092234,71.73,2,-2
382,-12.55,46.0,0.092234,71.88,2,-2
383,86.2,6.0,0.092234,72.13,2,-2
384,-40.55,0.0,0.09095299999999999,72.43,2,-2
385,8.46,-2.0,0.092234,72.72,2,-2
386,81.99,-2.0,0.111449,73.02,2,-2
387,-15.8,13.0,0.093515,73.25,2,-2
388,-110.79,15.0,0.093515,73.58,2,-2
389,66.41,15.0,0.093515,73.82,2,-2
390,4.02,15.0,0.093515,73.98,2,-2
391,-79.68,14.0,0.094796,74.18,2,-2
392,11.08,16.0,0.094796,74.33,2,-2
393,-72.62,15.0,0.094796,74.45,2,-2
394,72.54,16.0,0.094796,74.73,2,-2
395,8.46,16.0,0.09095299999999999,75.02,2,-2
396,-75.84,16.0,0.093515,75.27,2,-2
397,45.96,15.0,0.094796,75.62,2,-2
398,3.06,15.0,0.093515,75.98,2,-2
399,-44.63,16.0,0.094796,76.35,2,-2
400,28.99,15.0,0.094796,76.73,2,-2
401,-49.8,11.0,0.094796,77.13,2,-2
402,53.08,9.0,0.093515,77.55,2,-2
403,13.68,21.0,0.093515,78.05,2,-2
404,44.44,19.0,0.093515,78.55,2,-2
405,11.42,20.0,0.093515,79.03,2,-2
406,-46.36,21.0,0.09095299999999999,79.52,2,-2
407,17.4,20.0,0.094796,80.0,2,-2
408,-54.52,21.0,0.094796,80.43,2,-2
409,21.46,21.0,0.094796,80.83,2,-2
410,-19.36,22.0,0.094796,81.22,2,-2
411,36.39,23.0,0.096077,81.57,2,-2
412,-6.71,23.0,0.096077,81.92,2,-2
413,38.64,23.0,0.094796,82.23,2,-2
414,28.09,23.0,0.094796,82.55,2,-2
415,-76.51,22.0,0.094796,82.83,2,-2
416,51.65,20.0,0.096077,82.95,2,-2
417,21.35,16.0,0.093515,82.98,2,-2
418,-60.77,17.0,0.096077,83.0,2,-2
419,42.66,18.0,0.115292,83.0,2,-2
420,-31.5,19.0,0.094796,83.0,2,-2
421,26.67,17.0,0.096077,83.02,2,-2
422,-28.91,18.0,0.096077,83.03,2,-2
423,22.7,13.0,0.097358,83.08,2,-2
424,62.81,7.0,0.094796,83.17,2,-2
425,-56.02,39.0,0.094796,83.28,2,-2
426,-39.92,7.0,0.094796,83.42,2,-2
427,-20.61,11.0,0.094796,83.72,2,-2
428,-8.88,15.0,0.093515,84.03,2,-2
429,32.01,-5.0,0.093515,84.35,2,-2
430,78.3,25.0,0.093515,84.68,2,-2
431,-53.61,32.0,0.094796,85.03,2,-2
432,-113.88,24.0,0.092234,85.38,2,-2
433,-47.06,88.0,0.093515,85.75,2,-2
434,56.75,60.0,0.093515,86.08,2,-2
435,-36.96,44.0,0.094796,86.42,2,-2
436,12.21,21.0,0.098639,86.77,2,-2
437,91.87,32.0,0.094796,87.08,2,-2
438,-72.41,25.0,0.09992000000000001,87.37,2,-2
439,-66.99,11.0,0.092234,87.62,2,-2
440,90.49,39.0,0.097358,87.87,2,-2
441,-38.94,26.0,0.098639,88.12,2,-2
442,44.77,12.0,0.098639,88.37,2,-2
443,-10.76,31.0,0.098639,88.6,2,-2
444,-38.19,57.0,0.098639,88.85,2,-2
445,-19.24,55.0,0.09992000000000001,89.08,2,-2
446,13.93,56.0,0.098639,89.35,2,-2
447,53.51,59.0,0.09992000000000001,89.62,2,-2
448,-49.64,57.0,0.09992000000000001,89.92,2,-2
449,-0.94,53.0,0.096077,90.2,2,-2
450,12.2,56.0,0.093515,90.5,2,-2
451,-1.79,59.0,0.096077,90.8,2,-2
